"","V1"
"Single_RutherfordBHayes_1_2",3
"Single_RutherfordBHayes_1_3",5
"Single_RutherfordBHayes_1_4",5
"Single_RutherfordBHayes_1_5",5
"Single_RutherfordBHayes_1_6",3
"Single_RutherfordBHayes_1_7",14
"Single_RutherfordBHayes_1_8",11
"Single_RutherfordBHayes_1_9",5
"Single_RutherfordBHayes_1_10",6
"Single_RutherfordBHayes_1_11",1
"Single_RutherfordBHayes_1_12",6
"Single_RutherfordBHayes_1_13",1
"Single_RutherfordBHayes_1_14",1
"Single_RutherfordBHayes_1_15",5
"Single_RutherfordBHayes_1_16",5
"Single_RutherfordBHayes_1_17",5
"Single_RutherfordBHayes_1_18",5
"Single_RutherfordBHayes_1_19",12
"Single_RutherfordBHayes_1_20",12
"Single_RutherfordBHayes_1_21",12
"Single_RutherfordBHayes_1_22",1
"Single_RutherfordBHayes_1_23",1
"Single_RutherfordBHayes_1_24",1
"Single_RutherfordBHayes_1_25",2
"Single_RutherfordBHayes_1_26",2
"Single_RutherfordBHayes_1_27",2
"Single_RutherfordBHayes_1_28",2
"Single_RutherfordBHayes_1_29",2
"Single_RutherfordBHayes_1_30",14
"Single_RutherfordBHayes_1_31",3
"Single_RutherfordBHayes_1_32",3
"Single_RutherfordBHayes_1_33",3
"Single_RutherfordBHayes_1_34",6
"Single_RutherfordBHayes_1_35",3
"Single_RutherfordBHayes_1_36",3
"Single_RutherfordBHayes_1_37",3
"Single_RutherfordBHayes_1_38",5
"Single_RutherfordBHayes_1_39",5
"Single_RutherfordBHayes_1_40",5
"Single_RutherfordBHayes_1_41",5
"Single_RutherfordBHayes_1_42",5
"Single_RutherfordBHayes_1_43",3
"Single_RutherfordBHayes_1_44",2
"Single_RutherfordBHayes_1_45",2
"Single_RutherfordBHayes_1_46",5
"Single_RutherfordBHayes_1_47",6
"Single_RutherfordBHayes_1_48",6
"Single_RutherfordBHayes_1_49",6
"Single_RutherfordBHayes_1_50",5
"Single_RutherfordBHayes_1_51",13
"Single_RutherfordBHayes_1_52",5
"Single_RutherfordBHayes_1_53",5
"Single_RutherfordBHayes_1_54",5
"Single_RutherfordBHayes_1_55",5
"Single_RutherfordBHayes_1_56",5
"Single_RutherfordBHayes_1_57",5
"Single_RutherfordBHayes_1_58",5
"Single_RutherfordBHayes_1_59",5
"Single_RutherfordBHayes_1_60",5
"Single_RutherfordBHayes_1_61",5
"Single_RutherfordBHayes_1_62",5
"Single_RutherfordBHayes_1_63",5
"Single_RutherfordBHayes_1_64",5
