"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","state","countri","shall","law","upon","govern","freedom","time","american","new","great","peopl","nation","will","can"
"2","govern","industri","duti","right","question","public","free","year","everi","america","never","without","world","one","must"
"3","power","product","upon","shall","parti","interest","men","day","hope","let","countri","civil","peac","now","peopl"
"4","constitut","increas","peopl","citizen","principl","congress","life","god","liberti","work","much","purpos","war","make","nation"
"5","unit","trade","may","protect","countri","necessari","man","presid","chang","make","futur","common","seek","believ","thing"
"6","union","great","offic","respect","polit","may","know","histori","mean","togeth","danger","republ","forc","good","help"
"7","peopl","use","best","enforc","import","revenu","long","centuri","land","old","mani","good","strength","give","act"
"8","preserv","econom","support","execut","action","proper","equal","first","generat","better","fear","justic","way","hope","hand"
"9","right","progress","servic","secur","made","provid","human","now","faith","live","exist","advanc","secur","feel","done"
"10","limit","home","faith","constitut","express","economi","see","today","children","opportun","look","order","polici","race","other"
